index,predicate,diversified_predicate
8278,initialized==false,initialized==false
5161,_duration==uint256(uint64(_duration)),(_duration==uint256(uint64(_duration))) || (false)
4712,Address.isContract(IBeacon(beacon).childImplementation()),(Address.isContract(IBeacon(beacon).childImplementation())) || (msg.value > 0)
3687,balanceOf[_to]+_value>balanceOf[_to],(balanceOf[_to]+_value>balanceOf[_to]) && (a > b)
7613,spender!=address(0),spender==address(0)
8140,sender!=address(0),sender==address(0)
7556,success&&success1&&success2&&success3&&success4&&success5&&success6,success||success1||success2||success3||success4||success5||success6
9884,drop.exists==true,(drop.exists==true) && (true)
3285,false,(false) && (msg.value == 0)
3601,status==Status.Defaulted,status!=Status.Defaulted
5091,b<=a,(b<=a) || (block.number > 0)
410,contractExists(delegateAddress),contractExists(delegateAddress)
4560,msg.value>=SALE_PRICE_BATCH_ONE*_count,(msg.value>=SALE_PRICE_BATCH_ONE*_count) && (a > b)
3975,c>=a,c>=a
2467,_to!=address(0),_to!=address(0)
2324,params.withdrawalLiveness<5200weeks,(params.withdrawalLiveness<5200weeks) || (block.number > 0)
4506,!_isExcluded[account],!_isExcluded[account]
5932,fromBalance>=amount,(fromBalance>=amount) && (msg.value == 0)
4035,c>=a,(c>=a) || (msg.value > 0)
180,to!=address(0),(to!=address(0)) || (msg.value > 0)
3538,c>=a,c>=a
1463,_dividends>=0,(_dividends>=0) && (a > b)
4965,success,success
2115,_value<=allowance[_from][msg.sender],_value<=allowance[_from][msg.sender]
2948,_exists(tokenId),_exists(tokenId)
6507,a==b,(a==b) || (false)
7214,msg.sender==_treasury,msg.sender==_treasury
1910,newOwner!=address(0),newOwner!=address(0)
9920,b<=a,b>a
4004,signer!=address(0)&&signer==owner,(signer!=address(0)&&signer==owner) && (a > b)
4276,b>0,(b>0) || (block.number > 0)
901,_nextMintAuthority!=address(0),_nextMintAuthority!=address(0)
8087,amount>0,(amount>0) && (msg.sender != address(0))
3799,fee_<=50,fee_>50
50,address(tokenId)!=address(this),address(tokenId)!=address(this)
5114,treasure[account].endMonth==0,(treasure[account].endMonth==0) || (a < b)
8215,success,(success) && (true)
8588,!lockAddresses[_addr],(!lockAddresses[_addr]) || (block.number > 0)
9608,msg.sender==nextTimeLock,msg.sender==nextTimeLock
6867,owner_!=address(0),(owner_!=address(0)) || (false)
1745,amount!=0,amount!=0
2286,newTokenCount.isGreaterThanOrEqual(minSponsorTokens),(newTokenCount.isGreaterThanOrEqual(minSponsorTokens)) && (msg.sender != address(0))
3999,closed==false,closed==false
9177,"token.approve(spender,newAllowance)","(token.approve(spender,newAllowance)) || (block.number > 0)"
2956,newOwner!=address(0),(newOwner!=address(0)) && (msg.value == 0)
5660,_mintingFeeEnabled!=mintingFeeEnabled,_mintingFeeEnabled!=mintingFeeEnabled
5207,_to!=address(0),_to!=address(0)
2614,_lockSet.contains(lockID),(_lockSet.contains(lockID)) && (a > b)
5197,msg.sender==owner,(msg.sender==owner) && (a > b)
6964,newAmount>=(totalSupply()*1)/100000,(newAmount>=(totalSupply()*1)/100000) || (false)
2256,queryIndex.isValid,(queryIndex.isValid) || (a < b)
5222,"(this.balanceOf(_msgSender(),0)==1)&&(newValue<=10000*10**18)","(this.balanceOf(_msgSender(),0)==1)||(newValue<=10000*10**18)"
6407,"dividend.timestamp<SafeMath.sub(getNow(),RECYCLE_TIME)","(dividend.timestamp<SafeMath.sub(getNow(),RECYCLE_TIME)) && (a > b)"
5840,0<_addedValue,0<_addedValue
889,"(value==0)||(token.allowance(address(this),spender)==0)",(value==0)
8737,_value<=balances[_from],(_value<=balances[_from]) || (block.number > 0)
9796,_mintAmount<=maxMintAmountPresale,_mintAmount<=maxMintAmountPresale
7323,gas>=50,gas>=50
3017,success,success
5119,treasure[account].endMonth==0,(treasure[account].endMonth==0) && (a > b)
1125,address(this).balance>=_ethValue,address(this).balance>=_ethValue
330,to!=address(0),to!=address(0)
5444,b!=0,b!=0
4027,msg.sender==owner,msg.sender==owner
2994,msg.sender==Admin,(msg.sender==Admin) || (a < b)
4521,owner()==_msgSender(),(owner()==_msgSender()) && (true)
2224,ancillaryData.length<=ancillaryBytesLimit,ancillaryData.length<=ancillaryBytesLimit
3803,nonce==nonces[signatory]++,(nonce==nonces[signatory]++) || (a < b)
4741,msg.sender==owner,msg.sender!=owner
8686,tokenAmountIn!=0,tokenAmountIn==0
929,amount<20,(amount<20) || (false)
1452,to!=address(0),to!=address(0)
9775,vaults[_destToken]!=address(0),vaults[_destToken]!=address(0)
6276,"GenericLogic.balanceDecreaseAllowed(reserveAddress,msg.sender,amount,reservesData,userConfig,reserves,reservesCount,oracle)","(GenericLogic.balanceDecreaseAllowed(reserveAddress,msg.sender,amount,reservesData,userConfig,reserves,reservesCount,oracle)) && (true)"
36,recipient!=address(0),recipient!=address(0)
1123,address(this).balance>=available,(address(this).balance>=available) && (msg.sender != address(0))
9208,_borrower!=address(0),_borrower==address(0)
7105,poolState==_state,poolState==_state
2663,block.timestamp>=_PHASE_BID_ENDTIME_&&block.timestamp<_PHASE_CALM_ENDTIME_,block.timestamp<_PHASE_BID_ENDTIME_&&block.timestamp<_PHASE_CALM_ENDTIME_
3460,amount>0,(amount>0) && (msg.value == 0)
37,_blacklist[sender]==false,(_blacklist[sender]==false) || (msg.value > 0)
6889,_weiAmount!=0,_weiAmount==0
8435,b!=0,(b!=0) || (block.number > 0)
9640,_value<=balances[_from],_value<=balances[_from]
8512,_address!=address(this),_address!=address(this)
4911,balanceOf[_from]>=_value,(balanceOf[_from]>=_value) || (block.number > 0)
2471,_amount<=allowed[_from][msg.sender],_amount<=allowed[_from][msg.sender]
6083,_nftFee>0,(_nftFee>0) || (msg.value > 0)
126,isOffline(),(isOffline()) && (a > b)
2297,getCurrentTime()>=expirationTimestamp,getCurrentTime()>=expirationTimestamp
5649,"token.transfer(to,value)","(token.transfer(to,value)) && (true)"
5075,_to!=address(0),_to!=address(0)
8609,totalSupply>=_value,totalSupply<_value
6509,previous<current,previous<current
9726,msg.value>0,(msg.value>0) || (a < b)
4877,account!=address(0),account!=address(0)
8990,msg.value==price*quantity,msg.value!=price*quantity
3754,recipient!=address(0),recipient==address(0)
3335,false,false
2640,accountBalance>=amount,accountBalance<amount
32,newAdmin!=address(0),newAdmin!=address(0)
9000,operator!=_msgSender(),(operator!=_msgSender()) || (false)
9751,amount<=_balances[account],(amount<=_balances[account]) && (msg.value == 0)
8549,"executorAddr.delegatecall(sig,calldataArgs)","!(executorAddr.delegatecall(sig,calldataArgs))"
2826,!_finalized,!_finalized
35,sender!=address(0),(sender!=address(0)) && (msg.value == 0)
9791,block.timestamp>=preSaleDate,block.timestamp>=preSaleDate
7572,address(this).balance>=value,address(this).balance<value
9080,"!has(role,account)","!has(role,account)"
4786,_to!=address(0),_to!=address(0)
5467,msg.sender==_owner,msg.sender==_owner
9019,blockNumber<block.number,blockNumber>=block.number
2424,address(this).balance>=amount,address(this).balance>=amount
2756,isMigrateComplete==0||(isMigrateComplete==1&&_amount==0),isMigrateComplete==0
2850,_finalized,_finalized
2768,b!=0,b==0
8781,minters[msg.sender],minters[msg.sender]
6392,cliffDuration<=duration,cliffDuration<=duration
5720,ss.length%2==0,ss.length%2==0
4707,address(this).balance>=value,(address(this).balance>=value) && (a > b)
1127,initializedTimestamp==0,initializedTimestamp==0
7201,sender!=address(0),sender==address(0)
8538,c/a==b,(c/a==b) || (a < b)
1047,address(this).balance>=amount,address(this).balance>=amount
173,"_isApprovedOrOwner(_msgSender(),tokenId)","(_isApprovedOrOwner(_msgSender(),tokenId)) || (msg.value > 0)"
8454,msg.value>0,msg.value>0
2949,"_checkOnERC721Received(address(0),to,tokenId,_data)","(_checkOnERC721Received(address(0),to,tokenId,_data)) && (msg.sender != address(0))"
4571,earlysaleEnable!=status,(earlysaleEnable!=status) || (false)
3490,from!=address(0),from!=address(0)
5054,isOwner(),isOwner()
5413,expectedRate<=MAX_RATE,expectedRate<=MAX_RATE
9836,_newOwner!=address(0),_newOwner!=address(0)
6328,liquidationThresholds.length==assets.length,(liquidationThresholds.length==assets.length) || (a < b)
3838,!_isBlackListedBot[recipient],(!_isBlackListedBot[recipient]) || (msg.value > 0)
1460,isContract(target),isContract(target)
6236,assets.length==sources.length,(assets.length==sources.length) && (msg.value == 0)
6949,owner()==_msgSender(),(owner()==_msgSender()) && (a > b)
8419,customerData[customer].nextPendingDay<_day,customerData[customer].nextPendingDay<_day
9521,value>=-2**31&&value<2**31,value>=-2**31||value<2**31
5688,now>=unlockDate,now>=unlockDate
7265,_assetAddress.length<=93,_assetAddress.length>93
3222,_surveyEndBlock>0,_surveyEndBlock>0
840,_owner!=address(0),_owner!=address(0)
2941,to!=owner,(to!=owner) && (msg.value == 0)
2605,msg.sender==owner,msg.sender==owner
8712,spotPriceAfter<=maxPrice,(spotPriceAfter<=maxPrice) || (block.number > 0)
3,newOwner!=address(0),(newOwner!=address(0)) && (msg.sender != address(0))
7718,!frozenAccount[_to],!frozenAccount[_to]
6414,msg.sender==owner,(msg.sender==owner) && (a > b)
5877,to!=address(0),to!=address(0)
2466,msg.value>0,msg.value<=0
2944,operator!=_msgSender(),(operator!=_msgSender()) || (msg.value > 0)
8394,b!=0,(b!=0) && (a > b)
7620,"(value==0)||(token.allowance(address(this),spender)==0)","(value!=0)||(token.allowance(address(this),spender)!=0)"
8861,balanceOf[_from]>=_value,balanceOf[_from]<_value
641,"msg.sender.isManagedGranteeForOperator(operator,managedGrant,tokenGrant)","msg.sender.isManagedGranteeForOperator(operator,managedGrant,tokenGrant)"
5427,user.withdrawTime==0,user.withdrawTime==0
8668,decimal>=10**6,decimal<10**6
8643,base>=MIN_BPOW_BASE,base>=MIN_BPOW_BASE
8964,sender==owner(),(sender==owner()) && (msg.sender != address(0))
3116,sender!=address(0),sender!=address(0)
1207,b<=a,(b<=a) || (block.number > 0)
4261,value==0,(value==0) || (false)
4125,"token.allowance(from,address(this))>=amount","(token.allowance(from,address(this))>=amount) || (a < b)"
4863,!frozenAccount[target],!(!frozenAccount[target])
6493,kind==WeightedPool.JoinKind.INIT,kind==WeightedPool.JoinKind.INIT
6657,now>=auctionEnd,(now>=auctionEnd) && (msg.value == 0)
334,to!=address(0),to==address(0)
642,beneficiary!=address(0),beneficiary==address(0)
4250,to!=address(0),to!=address(0)
3735,address(this).balance>=amount,address(this).balance>=amount
1938,rAmount<=_rTotal,rAmount>_rTotal
1048,success,(success) || (false)
8791,collections.supportsInterface(_INTERFACE_ID_ERC721),collections.supportsInterface(_INTERFACE_ID_ERC721)
1148,isAllowedLotSize(_requestedLotSizeSatoshis),(isAllowedLotSize(_requestedLotSizeSatoshis)) && (msg.sender != address(0))
5081,_ids.length==_amounts.length,(_ids.length==_amounts.length) || (false)
1923,activeTaxCollectedAmount>=amount,(activeTaxCollectedAmount>=amount) && (msg.sender != address(0))
6823,!tradingOpen,!tradingOpen
2136,b<=a,b<=a
8485,msg.sender==owner,msg.sender==owner
8967,burnTxHashes[burnTxHash]==false,burnTxHashes[burnTxHash]==false
1004,msg.sender==_owner,msg.sender!=_owner
7085,(b>=0&&c>=a)||(b<0&&c<a),(b>=0||c>=a)||(b<0||c<a)
5903,treasuryOwner!=_address,treasuryOwner!=_address
393,data.length>=85,data.length>=85
2372,strike.isGreaterThan(0),(strike.isGreaterThan(0)) && (msg.value == 0)
2249,msg.sender==existingGovernor,msg.sender==existingGovernor
5811,c>=a,(c>=a) && (msg.sender != address(0))
5426,manager.getPaused()==false,manager.getPaused()==false
4785,b!=0,b!=0
8463,_newStartTime>block.timestamp,(_newStartTime>block.timestamp) && (true)
5055,newOwner!=address(0),(newOwner!=address(0)) && (a > b)
8846,a==0||c/a==b,(a==0||c/a==b) || (msg.value > 0)
7929,getExitFeeRemainingCooldown(from)==0,getExitFeeRemainingCooldown(from)==0
9901,"account==_msgSender()||isApprovedForAll(account,_msgSender())","account==_msgSender()&&isApprovedForAll(account,_msgSender())"
3302,newValue>=200000&&newValue<=500000,newValue>=200000&&newValue>500000
3269,account!=address(0),account!=address(0)
7293,_percentage<=1000000,_percentage>1000000
4418,!contractLockedForever,!contractLockedForever
5655,block.number>=transferableFromBlock,(block.number>=transferableFromBlock) && (a > b)
4802,_addressNotNull(newOwner),_addressNotNull(newOwner)
6124,address(this).balance>=_weiAmount.add(_fee),address(this).balance<_weiAmount.add(_fee)
5209,allowed[_from][msg.sender]>=_amount,(allowed[_from][msg.sender]>=_amount) || (block.number > 0)
6375,!_isExcluded[sender],!(!_isExcluded[sender])
7693,!STATUS.LP_GENERATION_COMPLETE,!(!STATUS.LP_GENERATION_COMPLETE)
5670,"pricingPlan.payFee(MINT_SERVICE_NAME,_amount,msg.sender)","pricingPlan.payFee(MINT_SERVICE_NAME,_amount,msg.sender)"
590,"isGrantee(msg.sender,deposit.grantId)","isGrantee(msg.sender,deposit.grantId)"
2858,_records[tokenIn].bound,_records[tokenIn].bound
8297,isContract(target),(isContract(target)) && (a > b)
684,transaction.payoutInHeldToken,transaction.payoutInHeldToken
7524,_to!=address(0),(_to!=address(0)) || (a < b)
7899,c>=a,c>=a
1772,publicSaleStartTime!=0,publicSaleStartTime!=0
5025,_to.length==_values.length,(_to.length==_values.length) && (true)
2536,"isSigner(ecrecover(keccak256(abi.encodePacked(this,id)),v,r,s))","!(isSigner(ecrecover(keccak256(abi.encodePacked(this,id)),v,r,s)))"
2631,_vaultData.stakes.length!=0,_vaultData.stakes.length!=0
3264,currentAllowance>=amount,(currentAllowance>=amount) && (msg.value == 0)
5550,newOwner!=address(0),newOwner!=address(0)
1298,recipient!=address(0),recipient!=address(0)
1555,_tokenInfoMap[_token].available,(_tokenInfoMap[_token].available) && (msg.sender != address(0))
4354,isPublicSaleOn()==true,isPublicSaleOn()==true
1475,_to!=address(0),_to!=address(0)
9445,!(b==-1&&a==_INT256_MIN),!(b==-1||a==_INT256_MIN)
8869,msg.sender!=to,msg.sender!=to
9352,isOwner(),isOwner()
6450,!frozenAccount[msg.sender],(!frozenAccount[msg.sender]) && (true)
4730,owner!=address(0),owner!=address(0)
2910,newController!=controller,(newController!=controller) && (msg.sender != address(0))
3204,_proxy==address(0),_proxy!=address(0)
1522,isAdmin(msg.sender),!(isAdmin(msg.sender))
5790,c>=a,c<a
5473,owner!=address(0),owner!=address(0)
7498,address(token).isContract(),(address(token).isContract()) && (msg.value == 0)
9861,oldBalance==0,(oldBalance==0) || (false)
4878,"!has(role,account)","(!has(role,account)) || (false)"
6439,msg.sender==owner,(msg.sender==owner) || (msg.value > 0)
1420,_getTotalSupply()-baseStageSupply<FIRST_DROP_CAP,_getTotalSupply()-baseStageSupply<FIRST_DROP_CAP
2842,msg.sender==_controller,msg.sender!=_controller
3425,_rate>0,_rate>0
6495,tokenIndex<2,tokenIndex<2
7862,tokenRest>0,tokenRest<=0
3511,success,!(success)
6756,msg.sender==controller,msg.sender==controller
8586,balances[_from]>=_value,balances[_from]>=_value
4974,!paused,!paused
2052,b!=0,(b!=0) && (msg.value == 0)
2076,c>=a,c>=a
1867,block.timestamp>startTime,(block.timestamp>startTime) && (msg.value == 0)
1911,_isAuthorised[_msgSender()],(_isAuthorised[_msgSender()]) && (a > b)
4981,_owner==_msgSender(),_owner==_msgSender()
5518,!info.lock,(!info.lock) && (true)
1759,rAmount<=_rTotal,(rAmount<=_rTotal) || (msg.value > 0)
9669,spender!=address(0),(spender!=address(0)) || (msg.value > 0)
652,authorizerOf(_operator)==msg.sender,(authorizerOf(_operator)==msg.sender) && (msg.sender != address(0))
8481,recipient!=address(0),(recipient!=address(0)) || (false)
8431,c/a==b,c/a==b
8236,!semanticVersionIsZero(semanticVersion),(!semanticVersionIsZero(semanticVersion)) || (msg.value > 0)
780,!margin.isPositionCalled(positionId),!margin.isPositionCalled(positionId)
2629,amount!=0,amount==0
8693,tokenAmountOut>=minAmountsOut[i],tokenAmountOut>=minAmountsOut[i]
2580,block.timestamp>unstakeTimer[_pid][_msgSender()],block.timestamp<=unstakeTimer[_pid][_msgSender()]
7889,!_isExcluded[account],!_isExcluded[account]
4538,owner!=operator,owner!=operator
1804,account!=address(0),account!=address(0)
4900,address(msg.sender)==_bidder,address(msg.sender)!=_bidder
7300,playerBet.blockNumber!=0,playerBet.blockNumber!=0
6530,b!=0,b==0
4006,x<=type(uint32).max,x>type(uint32).max
4389,qty<=MAX_PER_PURCHASE,(qty<=MAX_PER_PURCHASE) && (a > b)
9147,owner!=address(0),(owner!=address(0)) || (msg.value > 0)
7701,b!=0,b!=0
2230,"ECDSA.recover(snapshotMessageHash,signature)==msg.sender","(ECDSA.recover(snapshotMessageHash,signature)==msg.sender) && (true)"
9124,_token!=BTC,_token!=BTC
8887,!commitments[_commitment],!commitments[_commitment]
1487,msg.value>0&&msg.data.length==0,msg.value>0
4090,to!=address(0),to!=address(0)
6420,isSubToken[address(toToken)],(isSubToken[address(toToken)]) || (msg.value > 0)
5984,msg.sender==governance,(msg.sender==governance) || (block.number > 0)
9052,isReserveToken[_token]||isLiquidityToken[_token],isReserveToken[_token]
743,msg.sender==originalOwner,(msg.sender==originalOwner) || (false)
5708,_exp<=MAX_EXP,_exp<=MAX_EXP
7161,msg.sender==governance,(msg.sender==governance) && (true)
8312,to!=address(0),to!=address(0)
2693,sender!=address(0),(sender!=address(0)) && (msg.sender != address(0))
9480,_minSubmissions>0,_minSubmissions>0
9194,b>0,(b>0) || (false)
7632,msg.value>=requestMinimum,(msg.value>=requestMinimum) && (msg.value == 0)
7474,recipient!=address(0),(recipient!=address(0)) && (true)
3432,weiRaised.add(_weiAmount)<=cap,(weiRaised.add(_weiAmount)<=cap) || (false)
4689,account!=address(0),(account!=address(0)) || (msg.value > 0)
552,_minimumStake>0,_minimumStake>0
2909,newOwner!=_owner,(newOwner!=_owner) && (msg.value == 0)
8757,_value<=allowed[_from][msg.sender],(_value<=allowed[_from][msg.sender]) || (block.number > 0)
7379,_to!=address(0),_to!=address(0)
6536,tokenIndex<_getTotalTokens(),tokenIndex<_getTotalTokens()
8102,amount>=0,(amount>=0) && (true)
6352,b<=a,(b<=a) || (block.number > 0)
6145,!pool1users[msg.sender].isExist,!pool1users[msg.sender].isExist
9280,_required,!(_required)
152,isContract(target),(isContract(target)) || (false)
2778,tAmount<=_tTotal,tAmount>_tTotal
5251,_newListingFee<10000,_newListingFee<10000
3340,snack.count>0,snack.count<=0
6012,b<=a,b<=a
1292,_owner==_msgSender(),_owner==_msgSender()
2574,_amount>=minLPStake,_amount>=minLPStake
1438,index>0,index<=0
276,!_exists(tokenId),!(!_exists(tokenId))
8537,b<=a,b>a
3927,_value<=balances[msg.sender],_value>balances[msg.sender]
4771,sender!=address(0),(sender!=address(0)) && (msg.sender != address(0))
7703,"success&&(data.length==0||abi.decode(data,(bool)))",success
6555,value==0,value==0
4341,!claimedAddresses[msg.sender],!(!claimedAddresses[msg.sender])
1795,address(this).balance>=amount,address(this).balance<amount
6681,allowInternalPurchases,(allowInternalPurchases) || (a < b)
2784,from!=address(0),(from!=address(0)) && (msg.sender != address(0))
7008,b<=a,b<=a
9760,success,(success) && (a > b)
7687,tokensOwed>0,tokensOwed>0
1558,!_isOwner(_addresses[i]),!_isOwner(_addresses[i])
6188,b>0,b>0
2658,!_INITIALIZED_,(!_INITIALIZED_) || (a < b)
9478,oracleNum==0||oracleNum>_restartDelay,(oracleNum==0||oracleNum>_restartDelay) || (false)
459,b>0,b<=0
1036,state!=ModultradeLibrary.ProposalStates.Closed,state!=ModultradeLibrary.ProposalStates.Closed
9210,_localNode!=address(0),(_localNode!=address(0)) && (msg.sender != address(0))
1363,address(this).balance>=value,(address(this).balance>=value) && (msg.sender != address(0))
5249,_newFee<10000,(_newFee<10000) || (a < b)
3431,_cap>0,(_cap>0) && (msg.value == 0)
4585,IERC721(COMIC_TOKEN).ownerOf(tokenId)==msg.sender,IERC721(COMIC_TOKEN).ownerOf(tokenId)!=msg.sender
8769,account!=address(0),account==address(0)
7673,_storage.isGovernance(msg.sender),(_storage.isGovernance(msg.sender)) || (block.number > 0)
1843,address(this).balance>=amount,(address(this).balance>=amount) && (msg.value == 0)
8028,msg.sender==owner,msg.sender==owner
328,"_isApprovedOrOwner(msg.sender,tokenId)","(_isApprovedOrOwner(msg.sender,tokenId)) && (msg.sender != address(0))"
1802,recipient!=address(0),(recipient!=address(0)) && (true)
3060,_lender!=address(0),_lender!=address(0)
6738,"(value==0)||(token.allowance(address(this),spender)==0)",(value==0)
1958,_value<=allowed[_from][msg.sender],(_value<=allowed[_from][msg.sender]) && (msg.value == 0)
3558,owner!=address(0),owner!=address(0)
1982,amount<=_maxTxAmount,amount<=_maxTxAmount
3699,_value<=allowed[_from][msg.sender],_value<=allowed[_from][msg.sender]
7373,_initializing||!_initialized,!(_initializing||!_initialized)
1853,isWl(msg.sender),isWl(msg.sender)
3008,success,!(success)
3809,account!=address(0),(account!=address(0)) || (a < b)
3783,rewardPoolFee_<=50,(rewardPoolFee_<=50) && (true)
9071,queue_[_address]<=block.number,(queue_[_address]<=block.number) && (msg.sender != address(0))
4632,index<ERC721Enumerable.totalSupply(),index<ERC721Enumerable.totalSupply()
9953,newOwner!=address(0),(newOwner!=address(0)) || (msg.value > 0)
5625,!_trackedLoan[loan],(!_trackedLoan[loan]) && (true)
8596,owner==msg.sender,(owner==msg.sender) || (false)
7137,amount<=_allowed[account][msg.sender],(amount<=_allowed[account][msg.sender]) && (msg.sender != address(0))
3543,address(this).balance>=amount,address(this).balance>=amount
8022,!frozenAccount[from],!frozenAccount[from]
4028,_to!=0x0,_to!=0x0
5752,hasClaimed_priv2[user]==false,hasClaimed_priv2[user]==false
5979,"(value==0)||(token.allowance(address(this),spender)==0)","(value==0)&&(token.allowance(address(this),spender)==0)"
1300,msg.value==0,msg.value==0
3307,address(this).balance>=amount,address(this).balance<amount
6923,_cliff<=_duration,(_cliff<=_duration) && (msg.sender != address(0))
4350,isContract(target),(isContract(target)) && (true)
2159,!distributionFinished,!(!distributionFinished)
8341,paused,paused
6091,tokenCount>0,(tokenCount>0) || (msg.value > 0)
6516,msg.sender==sender||currentAllowance>=amount,msg.sender==sender
1827,this.balance>=_amountWei,(this.balance>=_amountWei) || (msg.value > 0)
1109,block.timestamp>=_d.courtesyCallInitiated.add(TBTCConstants.getCourtesyCallTimeout()),(block.timestamp>=_d.courtesyCallInitiated.add(TBTCConstants.getCourtesyCallTimeout())) && (msg.sender != address(0))
5834,0<_value,(0<_value) || (false)
6115,"IERC20(_tokenAddress).allowance(linkdropMaster,address(this))>=_tokenAmount","(IERC20(_tokenAddress).allowance(linkdropMaster,address(this))>=_tokenAmount) || (msg.value > 0)"
3499,!tradingOpen,!tradingOpen
7185,msg.sender==_owner,(msg.sender==_owner) || (false)
6245,addressesProvider.getEmergencyAdmin()==msg.sender,(addressesProvider.getEmergencyAdmin()==msg.sender) || (a < b)
9204,arbiter==msg.sender,arbiter!=msg.sender
5216,_owners.length==_amounts.length,_owners.length==_amounts.length
4932,minters[msg.sender],minters[msg.sender]
8877,a==0||c/a==b,a==0
2767,b>0,(b>0) && (msg.value == 0)
9371,c>=_a,(c>=_a) && (msg.value == 0)
6299,healthFactor>=GenericLogic.HEALTH_FACTOR_LIQUIDATION_THRESHOLD,healthFactor>=GenericLogic.HEALTH_FACTOR_LIQUIDATION_THRESHOLD
8714,finalized,(finalized) || (msg.value > 0)
8683,finalized,(finalized) && (a > b)
9008,ERC721.ownerOf(tokenId)==from,ERC721.ownerOf(tokenId)!=from
9922,b>0,b<=0
9042,c>=a,(c>=a) || (block.number > 0)
6282,vars.healthFactor>GenericLogic.HEALTH_FACTOR_LIQUIDATION_THRESHOLD,vars.healthFactor>GenericLogic.HEALTH_FACTOR_LIQUIDATION_THRESHOLD
6594,c/a==b,c/a==b
8679,_records[tokenIn].bound,_records[tokenIn].bound
7142,_owner==_msgSender(),_owner==_msgSender()
7951,false,false
9422,msg.sender==owner,msg.sender==owner
5651,"token.approve(spender,value)","(token.approve(spender,value)) || (a < b)"
8959,spender!=address(0),(spender!=address(0)) || (block.number > 0)
1690,"!isEqual(claimId,"""")","!isEqual(claimId,"""")"
2957,sender!=address(0),sender==address(0)
5637,msg.sender==newOwner,msg.sender==newOwner
6423,returnAmount>=minReturn,returnAmount>=minReturn
4725,"abi.decode(returndata,(bool))","abi.decode(returndata,(bool))"
3563,operator!=_msgSender(),operator==_msgSender()
6696,_current.length==3,_current.length==3
9799,msg.value>=cost*_mintAmount,(msg.value>=cost*_mintAmount) || (msg.value > 0)
564,_array.length>0,_array.length>0
8067,address(this).balance>=amount,(address(this).balance>=amount) || (msg.value > 0)
9878,_tokenId>=0,_tokenId<0
9614,_dex!=address(0),_dex==address(0)
8342,c>=a,c>=a
4193,maxTxPercent>0,(maxTxPercent>0) && (msg.value == 0)
8608,balanceOf[msg.sender]>=_value,balanceOf[msg.sender]>=_value
4692,spender!=address(0),spender==address(0)
8406,amountOut>0,(amountOut>0) && (true)
3710,isContract(target),(isContract(target)) || (false)
2639,account!=address(0),account!=address(0)
4510,sender!=address(0),sender==address(0)
6897,recipient!=address(0),recipient!=address(0)
5006,to!=address(0),to!=address(0)
2452,_required,(_required) || (msg.value > 0)
5476,recipient!=address(0),(recipient!=address(0)) && (a > b)
9173,"token.transfer(to,value)","token.transfer(to,value)"
4754,treasury!=address(0),treasury!=address(0)
8306,operator!=_msgSender(),operator!=_msgSender()
7709,balanceOf[_to]+_value>balanceOf[_to],balanceOf[_to]+_value>balanceOf[_to]
1152,c>=_a,(c>=_a) && (msg.value == 0)
879,_msgSender()==pendingOwner,_msgSender()==pendingOwner
3406,_value<=allowed[_from][msg.sender],_value>allowed[_from][msg.sender]
291,!free[msg.sender],!(!free[msg.sender])
3398,newOwner!=address(0),(newOwner!=address(0)) || (msg.value > 0)
8415,"cPenguin.transfer(to,amount)","(cPenguin.transfer(to,amount)) && (true)"
9432,msg.sender==nextgov&&commitgov<block.timestamp,msg.sender!=nextgov&&commitgov<block.timestamp
9974,!_exists(tokenId),!_exists(tokenId)
3825,now>_lockTime,now<=_lockTime
9834,(srcDecimals-dstDecimals)<=MAX_DECIMALS,((srcDecimals-dstDecimals)<=MAX_DECIMALS) || (false)
1496,spender!=address(0),spender!=address(0)
2777,!_isExcluded[sender],!(!_isExcluded[sender])
6462,totalMinted.add(_count)<=MAX_SUPPLY,(totalMinted.add(_count)<=MAX_SUPPLY) && (true)
4683,currentAllowance>=amount,(currentAllowance>=amount) && (a > b)
2760,absTick<=uint256(MAX_TICK),absTick<=uint256(MAX_TICK)
1801,sender!=address(0),sender==address(0)
3886,canWithdraw(),canWithdraw()
5654,amount>0,amount>0
9610,_fee<=PERF_FEE_CAP,_fee>PERF_FEE_CAP
2525,creators[_id]==address(0x0),creators[_id]!=address(0x0)
5160,_endingPrice==uint256(uint128(_endingPrice)),_endingPrice!=uint256(uint128(_endingPrice))
7282,to!=address(0),(to!=address(0)) && (msg.sender != address(0))
2267,"_executeCall(transaction.to,transaction.value,transaction.data)","_executeCall(transaction.to,transaction.value,transaction.data)"
1276,success,(success) || (false)
3329,t<4,t<4
8800,ownedAssets[currentIndex].tokenType==_tokenType,(ownedAssets[currentIndex].tokenType==_tokenType) && (msg.value == 0)
6120,_nftAddress!=address(0),(_nftAddress!=address(0)) && (msg.value == 0)
9106,"IERC20(BTC).transferFrom(msg.sender,address(this),tokens)","IERC20(BTC).transferFrom(msg.sender,address(this),tokens)"
3967,_value<=balances[_from],(_value<=balances[_from]) || (false)
9378,address(this).balance<=maxBalance,address(this).balance>maxBalance
3840,amount<=_maxTxAmount,amount<=_maxTxAmount
5658,bytes(_symbol).length>0,(bytes(_symbol).length>0) || (false)
4645,os,(os) && (msg.value == 0)
2064,account!=address(0),account!=address(0)
